an 0
from 11,3,15,7
time 14,6,10
to 11,3,15,16,7
what 16
work 0,12,4,8
fourth 12,14
have 2,14,16,6,10
here 1,13,5,9
it 0,12,4,8
iteration 12,4,8
map 0,12,2,14,4,16,6,8,10
sentence 0,12,1,13,4,5,8,9
these 16
this 11,0,12,14,3,4,15,16,6,7,8,10
will 0,12,4,8
and 0,12,4,8
copied 16
enjoyed 2,14,6,10
for 14,6,10
in 0,12,4,16,8
is 11,0,12,1,13,3,4,15,5,7,8,9
just 16
our 0,12,4,8
see 16
there 11,3,15,7
times 16
we 11,12,14,15,16,0,2,3,4,6,7,8,10
which 0,12,4,8
another 1,13,5,9
doing 2,14,6,10
example 0,12,1,13,4,5,8,9
feel 11,0,12,3,4,15,7,8
get 16
job 0,12,4,16,8
lines 16
lot 11,3,15,7
of 12,4,8
second 4,6
third 8,10
a 11,3,15,7
be 0,12,4,8
learn 11,3,15,7
multiple 16
project 11,2,14,3,15,6,7,10
reduce 0,12,2,14,4,16,6,8,10
that 11,3,15,7
the 12,2,14,4,6,8,10
used 0,12,4,8
